English Word,French Word,Frequency
buried,enterré,57
prince,prince,772
beast,la bête,73
despair,désespoir,54
strong,fort,196
train,train,85
action,action,116
simple,Facile,117
civil,civil,51
plague,peste,94
aside,de côté,466
lovers,les amoureux,61
marry,marier,366
everything,tout,42
afterwards,ensuite,38
together,ensemble,257
bishop,évêque,48
lorenzo,Lorenzo,81
thank,remercier,294
table,gendarme,60
ransom,table,59
feeble,une rançon,37
angel,faible,55
follow,ange,336
elbow,suivre,59
justice,coude,239
sudden,Justice,79
cloten,soudain,110
bassianus,tout à coup,45
treason,cailloter,92
matter,bassianus,357
bought,trahison,51
durst,matière,51
private,acheté,66
nature,durst,385
queen,privé,979
supper,la nature,62
hours,reine,141
wealth,souper,72
protest,heures,53
liberty,richesse,73
triumph,manifestation,48
ready,liberté,143
forest,triomphe,71
weapons,déjà,42
earth,prêt,317
leontes,forêt,150
learn,armes,120
report,Terre,148
because,leontes,187
brother,apprendre,645
niece,appris,64
chaste,rapport,39
hangs,car,37
about,frère,403
merit,nièce,51
villain,chaste,253
freely,bloque,55
found,sur,229
bright,mérite,72
clown,scélérat,350
throw,librement,106
worth,a trouvé,205
stuff,brillant,64
version,pitre,222
silence,jeter,112
sooner,indigne,62
claim,vaut,64
short,des trucs,106
bears,version,107
witness,silence,128
might,plus tôt,500
condition,prétendre,59
answer,proclamer,426
ferdinand,court,53
slander,prochainement,53
people,ours,220
feast,témoin,101
sacred,pourrait,47
alive,puissant,90
bring,état,449
friend,répondre,446
title,Ferdinand,91
fight,calomnie,283
membership,gens,221
salerio,le banquet,48
proper,sacré,65
still,vivant,564
house,apporter,569
tedious,ami,45
trust,Titre,176
satisfied,bats toi,48
farewell,adhésion,353
valentine,salerio,233
claudio,correct,180
embrace,encore,68
court,maison,265
request,fastidieux,67
delight,confiance,56
country,satisfait,183
merry,adieu,170
bearing,Valentin,73
shore,Claudio,57
credit,embrasse,51
these,tribunal,1325
blind,courtoisie,85
return,demande,247
forth,délice,372
whose,pays,618
comes,joyeux,617
shortly,palier,46
affection,rive,76
marcius,crédit,143
tread,celles-ci,43
exeter,aveugle,98
priest,revenir,72
surely,en avant,40
wrath,désormais,57
tears,dont,284
wolsey,vient,101
chamber,prochainement,126
knife,affection,55
lovely,affections,53
alone,Marcius,237
marriage,bande de roulement,119
tailor,Exeter,51
commanded,prêtre,40
thrust,sûrement,54
throne,colère,67
widow,larmes,123
itself,Wolsey,240
according,chambre,45
miranda,couteau,65
consider,charmant,58
before,seul,839
safety,mariage,74
figure,tailleur,41
abide,commandé,37
plead,poussée,48
didst,trône,183
dreams,veuve,46
fearful,lui-même,90
ancient,selon,79
slender,Miranda,111
drops,considérer,53
shine,avant,45
spare,sécurité,61
happiness,figure,57
reignier,respecter,49
waste,plaider,44
cominius,didst,104
thief,rêves,68
unworthy,craintif,36
treasure,ancien,53
provided,mince,253
liege,gouttes,141
henceforth,éclat,40
abuse,de rechange,47
first,bonheur,1172
limbs,règne,47
commercial,déchets,221
parts,cominius,111
goodness,voleur,56
lieutenant,indigne,78
wretch,Trésor,59
ariel,à condition de,93
fortune,Liege,362
flowers,désormais,46
heavy,abuser de,169
souls,première,114
divine,membres,49
ladyship,commercial,44
includes,les pièces,223
dolabella,la bonté,39
breath,lieutenant,230
clothes,misérable,40
naked,Ariel,52
lands,fortune,54
sword,fleurs,355
copies,lourd,446
daughter,âmes,438
empty,Divin,51
maids,Madame,44
behalf,comprend,45
utter,Dolabella,43
weeds,souffle,44
murder,vêtements,76
crave,nu,42
fetch,terres,124
which,épée,2322
double,copies,90
gross,fille,56
brook,vide,84
others,servantes,420
claud,nom,125
awhile,prononcer,102
scorn,mauvaises herbes,108
conduct,meurtre,48
further,demander,190
doing,chercher,75
nought,lequel,58
madness,double,68
commission,brut,48
rascal,ruisseau,61
young,autres,467
doctor,claud,113
throat,Claudio,51
spoke,quelque temps,148
pluck,mépris,139
believe,conduite,240
gallant,plus loin,55
window,Faire,50
presence,néant,106
flourish,la démence,137
blame,commission,83
lordship,coquin,124
dread,Jeune,49
herself,docteur,98
leisure,gorge,63
knows,parlait,213
speak,cueillir,1206
meeting,croyez,53
morning,galant,132
grieve,la fenêtre,40
touch,présence,164
speech,fleurir,128
haste,faire des reproches,163
certain,seigneurie,176
familiar,crainte,37
trumpet,horrible,90
ourselves,se,115
cross,loisir,101
grant,sait,111
smell,parler,51
count,parle,132
perhaps,réunion,45
dwell,Matin,41
golden,pleurer,91
battle,toucher,117
senator,discours,91
heart,chaste,1061
express,hâte,47
tyrant,certain,60
themselves,familier,159
counterfeit,trompette,55
dispatch,nous-mêmes,92
countess,traverser,121
taste,subvention,80
become,odeur,142
coward,Compte,86
athens,compter,72
palace,contrefaire,160
catch,comtesse,76
innocent,pays,52
person,rencontre,152
given,peut-être,191
prize,habiter,47
motion,d'or,81
project,bataille,251
cannot,sénateur,762
sirrah,cœur,148
looks,Express,214
above,tyran,147
judge,se,92
proud,contrefaire,213
study,envoi,65
darkness,comtesse,39
single,goût,59
outward,devenir,50
french,lâche,225
constable,Athènes,87
desert,palais,44
saint,capture,129
beauty,innocent,233
leave,la personne,657
authority,personnel,55
appear,donné,150
chair,prix,40
practice,mouvement,41
discover,projet,43
offence,ne peux pas,96
steal,sirrah,84
deeds,regards,118
march,au dessus,133
uncle,juge,211
object,fier,39
offer,étude,108
viola,obscurité,142
anything,Célibataire,105
though,vers l'extérieur,634
swear,français,265
would,gendarme,2301
bottom,désert,106
makes,Saint,356
sweat,beauté,39
borne,laisser,83
profit,autorité,39
intent,apparaître,50
neither,apparaît,186
turns,chaise,55
tower,entraine toi,81
painted,découvrir,53
citizen,infraction,186
forces,voler,44
thing,actes,359
soldier,Mars,272
laugh,oncle,113
manner,objet,81
tongue,offre,420
prologue,alto,40
general,n'importe quoi,216
entreat,bien que,111
perceive,bien que,92
parolles,pensée,175
hubert,jurer,96
sight,aurait,201
judgment,bas,104
fruit,fait du,37
longer,transpiration,112
speaks,supporté,128
complete,profit,246
entertain,intention,55
sorrow,ni,193
coming,se tourne,158
search,la tour,50
sport,peint,123
shake,citoyenne,102
except,les forces,38
constant,n'importe quoi,49
degree,tout,47
edmund,rien,72
spring,quelque chose,62
poison,chose,95
could,soldat,627
should,rire,1580
humour,manière,90
margaret,langue,210
cares,prologue,36
sharp,général,71
suspect,supplier,38
cheek,apercevoir,79
learned,parolles,50
jewel,Hubert,60
write,vue,125
farther,jugement,43
patience,fruit,190
without,plus long,368
fatal,parle,44
indeed,Achevée,438
passion,divertir,108
field,divertissement,192
father,chagrin,1076
fashion,venir,112
respect,chercher,101
worse,sport,161
chance,secouer,104
vantage,sauf,40
worship,constant,104
sentence,diplôme,39
marcus,Edmund,138
image,printemps,46
monster,poison,83
devise,pourrait,50
precious,devrait,78
equal,humour,45
willing,margaret,40
bless,se soucie,119
story,tranchant,67
fools,suspect,104
knock,joue,83
tonight,appris,49
library,bijou,232
where,écrire,1347
oliver,plus loin,57
there,la patience,2210
death,sans pour autant,900
sweet,fatal,807
courage,En effet,67
bounty,la passion,42
dance,champ,72
cruel,père,72
benefit,mode,39
bound,le respect,178
royal,pire,213
beaten,chance,50
whether,avantage,97
having,avantage,156
acquainted,culte,40
perfect,phrase,55
ignorant,Marcus,48
machine,image,223
month,monstre,44
drink,concevoir,157
please,précieux,396
secret,égal,65
philip,prêt,71
promise,bénir,108
reverence,bénédiction,44
making,récit,83
denied,imbéciles,55
cromwell,frappe,44
highness,ce soir,189
teach,bibliothèque,104
rough,où,72
doors,où,62
guess,oliver,53
wounded,Là,40
child,par conséquent,242
summer,la bride,89
brief,décès,91
undone,sucré,55
polixenes,courage,84
money,prime,187
tells,Danse,42
frame,cruel,46
trick,avantage,53
jealous,lié,50
paper,Royal,106
under,battu,298
those,qu'il s'agisse,547
loves,ayant,198
scarce,connaissance,73
faces,parfait,53
spite,ignorant,59
grace,machine,597
thought,mois,377
spirit,boisson,265
tribunes,S'il vous plaît,67
maiden,secret,50
twice,Philippe,72
between,promettre,241
surrey,révérence,50
mouth,fabrication,145
never,refusé,1020
shame,Cromwell,307
kings,altesse,117
dearest,enseigner,56
revolt,apporté,42
holds,rugueux,82
dying,par,48
fancy,forgé,57
wherein,des portes,132
course,devine,157
posthumus,blessés,129
cease,enfant,47
rotten,été,38
minds,bref,56
smile,défait,77
seven,polixènes,72
least,argent,101
party,raconte,51
quoth,Cadre,66
raise,tour,47
music,jaloux,203
church,papier,66
paris,tonnerre,138
orlando,sous,164
health,comprendre,103
mistress,entreprendre,453
prison,ceux,92
sickness,aime,54
stain,rare,67
enemies,visages,111
steel,malgré,70
obedience,dépit,52
elder,disgrâce,43
sorry,la grâce,92
again,pensée,769
carry,esprit,89
oberon,tribunes,45
disgrace,jeune fille,49
better,deux fois,595
morrow,entre,326
courtesy,Surrey,65
dreadful,bouche,59
flesh,jamais,138
valiant,la honte,156
execution,rois,48
question,très cher,156
measure,révolte,95
accuse,tient,38
gates,en train de mourir,101
flight,fantaisie,53
rogue,où,81
desire,cours,219
forbear,discours,58
armour,posthume,41
pedro,cesser,155
endure,pourri,76
afraid,esprits,41
nothing,sourire,636
crown,Sept,302
cardinal,moins,164
quality,fête,55
heaven,quoth,654
wives,louange,62
minister,élever,38
custom,la musique,45
proceed,église,72
faint,Paris,46
entertainment,orlando,37
readable,santé,224
mistake,maîtresse,40
abroad,prison,64
prove,maladie,252
choice,tache,70
honest,ennemis,289
match,acier,99
remedy,obéissance,59
charge,aîné,202
yonder,Pardon,74
until,encore,76
glory,porter,88
blest,Oberon,54
demand,disgrâce,60
commend,mieux,90
either,demain,172
forsooth,courtoisie,48
particular,horrible,56
right,la chair,352
talbot,vaillant,172
while,exécution,247
creature,question,72
fairy,mesure,58
neighbour,accuser,58
noise,portes,110
suffolk,vol,259
fenton,coquin,46
walls,le désir,85
stood,ancêtre,93
favour,armure,137
prayers,pedro,85
knowledge,supporter,78
witch,peur,94
unless,rien,153
doubt,couronne,173
falls,cardinal,81
other,qualité,712
hazard,paradis,41
contempt,épouses,47
policy,ministre,45
swift,Douane,70
warrant,procéder,176
shape,perdre connaissance,87
proclaim,divertissement,61
device,lisible,43
damned,erreur,45
ladies,à l'étranger,145
natural,prouver,58
strange,choix,252
content,honnête,158
tender,rencontre,149
drown,remède,88
comfort,charge,188
swore,là-bas,51
conscience,jusqu'à,122
contrary,gloire,47
hostess,heureux,112
painter,demande,45
tempest,saluer,44
mowbray,Soit,66
college,ni,226
brains,en vérité,45
castle,particulier,107
often,brillant,124
oxford,droits d'auteur,56
unknown,droite,44
substance,talbot,41
eternal,quelque temps,39
julia,tandis que,153
prohibited,créature,221
whence,Fée,75
emperor,voisine,112
suffer,bruit,107
lucentio,suffolk,131
shall,Fenton,3600
early,des murs,50
storm,se tenait,59
therefore,favoriser,627
ground,prières,165
since,connaissance,449
estate,sorcière,49
malice,sauf si,72
staff,doute,41
knowing,des chutes,47
virtue,un autre,195
misery,frère,39
mother,mère,437
beard,autre,96
attend,autres,119
bitter,danger,74
companion,mépris,37
modest,politique,38
dream,rapide,133
maintain,mandat,53
emilia,forme,149
means,proclamer,264
truth,dispositif,338
teeth,damné,56
blessing,Dames,47
drums,Naturel,41
enemy,étrange,167
fears,contenu,77
warlike,soumissionner,58
myself,noyer,567
approach,confort,77
world,juré,905
serve,conscience,187
power,contraire,307
burning,hôtesse,51
guilty,peintre,71
their,tempête,2077
purpose,mowbray,208
infinite,Université,38
labour,cerveaux,95
captain,Château,177
stroke,souvent,40
clarence,Oxford,211
pandarus,inconnue,188
stone,substance,67
council,éternel,51
behind,Julia,120
forbid,interdit,74
desperate,d'où,50
drawn,empereur,90
ghost,souffrir,86
state,Lucentio,310
permission,doit,225
peace,chèrement,539
disposition,de bonne heure,44
violent,orage,41
change,par conséquent,156
account,sol,46
already,depuis,148
humble,biens,72
besides,malice,109
remain,Personnel,66
burden,connaissance,48
happy,vertu,204
think,misère,1074
watch,mère,207
deserve,barbe,65
sound,assister,218
sister,assisté,204
wrought,amer,43
dagger,un compagnon,44
forget,modeste,95
command,rêver,173
tarry,rêves,45
beggar,maintenir,77
valour,Émilie,101
danger,veux dire,101
birth,vérité,87
whore,les dents,48
scene,bénédiction,799
quiet,tambours,77
fiend,ennemi,67
brows,peurs,45
hector,guerrier,222
present,moi même,246
saying,approche,56
dishonour,monde,50
fresh,mériter,90
office,servir,128
mercy,Puissance,182
pains,brûlant,91
instant,coupable,61
loose,leur,50
taken,objectif,94
service,infini,444
noble,la main d'oeuvre,616
light,capitaine,270
despite,accident vasculaire cérébral,52
apparel,clarté,40
brought,Pandarus,196
broke,calcul,87
displeasure,conseil,41
pardon,derrière,310
close,interdire,105
strength,désespéré,124
slain,tiré,127
launce,fantôme,82
shadow,biens,81
thunder,Etat,71
welcome,autorisation,366
little,paix,483
third,disposition,244
number,violent,55
meant,changement,53
depart,Compte,66
force,déjà,107
giving,humble,60
names,outre,49
withal,rester,142
green,fardeau,114
pound,heureux,54
proof,malheureux,82
assure,pense,50
murther,regarder,59
every,mériter,492
enjoy,du son,54
sleep,sœur,264
weight,forgé,44
chide,dague,49
foolish,oublier,97
former,commander,63
faith,commandé,408
always,goudronneux,63
realm,mendiant,53
letter,valeur,247
mischief,danger,42
betray,naissance,57
advantage,putain,72
opinion,scène,84
pretty,silencieux,117
wonder,démon,121
defend,sourcils,66
banish,Hector,127
several,présent,79
reign,en disant,48
memory,déshonorer,58
brave,Frais,160
cunning,Bureau,76
grief,pitié,217
mighty,des douleurs,110
times,instant,208
terms,ample,75
cause,pris,338
flower,un service,50
undertake,noble,45
yours,délice,256
solemn,vol,41
gentle,lumière,372
greet,malgré,43
hollow,vêtements,49
loving,apporté,118
woman,cassé,419
counsel,mécontentement,135
another,pardon,455
deliver,proche,141
milan,force,41
traitor,tué,134
excuse,lancer,78
special,ombre,38
peril,tonnerre,43
living,Bienvenue,121
complexion,peu,40
paulina,troisième,86
affections,nombre,40
mortal,signifiait,98
begin,partir,113
enough,Obliger,313
cheer,les forces,81
cupid,donnant,58
pompey,des noms,211
known,avec,188
merchant,vert,67
phebe,livre,47
possible,preuve,58
silver,assurer,69
season,aller plus loin,47
patient,chaque,90
great,tout,921
wings,prendre plaisir,55
going,endormi,109
bastard,sommeil,208
clouds,poids,59
bones,gronder,76
weary,insensé,78
hanging,ancien,41
chain,Foi,67
sought,toujours,37
asleep,domaine,60
discourse,lettre,60
skill,sottises,52
stars,trahir,71
weeping,avantage,60
shepherd,opinion,126
success,jolie,48
argument,merveille,67
speed,défendre,240
effect,bannir,72
cousin,nombreuses,272
mariana,règne,48
egypt,règne,49
bodies,souverain,44
finds,Mémoire,42
issue,courageux,111
drunk,ruse,70
lawful,douleur,61
flies,puissant,58
plain,fois,121
chief,termes,108
nurse,car,209
seeing,cause,53
cinna,fleur,40
voice,fleurs,158
victory,entreprendre,47
sense,le tiens,125
picture,toi même,43
knave,solennel,174
messenger,doux,300
sometime,saluer,77
therein,creux,56
master,aimant,844
second,femme,572
rivers,Conseil,58
poins,un autre,103
avoid,livrer,38
glorious,Milan,41
dinner,traitre,95
fought,excuse,66
whole,spécial,121
mirth,péril,52
lives,vivant,205
street,complexion,83
percy,paulina,87
distributed,affections,443
wench,mortel,62
public,commencer,57
barren,assez,41
slave,acclamation,132
enter,Cupidon,2357
majesty,pompey,270
trouble,connu,77
repent,inconnue,59
understand,marchande,98
being,phebe,664
large,possible,72
habit,argent,39
prepare,saison,65
stomach,patient,44
garden,génial,47
intend,ailes,54
native,Aller,43
partly,Connard,35
straight,des nuages,153
almost,des os,161
wrong,se lasser,276
france,pendaison,528
offend,chaîne,60
through,recherché,263
hands,endormi,319
padua,discours,41
oaths,compétence,69
company,étoiles,206
winter,larmes,73
curse,berger,100
absence,Succès,55
fierce,argument,40
blood,la vitesse,667
struck,effet,76
night,cousin,816
beyond,Mariana,60
meaning,Egypte,60
excellent,corps,119
gaunt,trouve,72
fiery,problème,49
keeps,ivre,76
blush,légitime,56
spend,mouches,68
thrive,plaine,56
porter,chef,45
grave,sottises,184
exeunt,infirmière,1035
written,voyant,35
heels,cinna,73
venice,voix,86
common,la victoire,154
bedford,sens,49
deadly,image,51
pride,fripon,111
download,Messager,221
truly,parfois,172
praise,la bride,182
knight,Maître,136
guard,seconde,129
trial,rivières,60
husband,poins,327
suddenly,éviter,50
reputation,glorieux,47
fourth,dîner,51
although,combattu,79
wound,entier,73
consent,gaieté,94
horse,vies,243
toward,rue,103
colour,Percy,90
quick,distribué,111
blows,jeune fille,71
purse,Publique,88
clear,Dénudé,66
visit,esclave,55
brain,entrer,95
taught,divertir,50
shows,divertissement,103
advice,majesté,43
breast,difficulté,98
anger,se repentir,60
heard,comprendre,349
soothsayer,étant,43
protector,grand,56
steward,habitude,47
hence,préparer,368
flood,estomac,47
frown,jardin,52
commit,avoir l'intention,40
servant,originaire de,429
hateful,partiellement,39
blunt,tout droit,68
flatter,presque,54
unhappy,faux,39
folly,France,80
revenge,offenser,155
devil,par,239
kindness,mains,52
copyright,Padoue,228
maria,serments,115
regard,entreprise,43
awake,hiver,78
gower,malédiction,53
ambition,absence,47
lords,féroce,466
hereafter,du sang,48
enobarbus,frappé,154
quarrel,Chevalier,98
passage,minuit,35
confess,nuit,146
black,ce soir,173
whither,au-delà,88
needs,sens,147
order,excellent,94
knees,décharné,51
point,ardent,147
dearly,garde,42
attended,rougir,45
challenge,dépenser,48
stand,prospérer,586
parted,porter,47
yield,la tombe,143
midnight,sortir,43
dramatis,écrit,36
piece,talons,90
subject,venise,105
duncan,commun,40
yourself,Bedford,280
rather,mortel,322
after,fierté,420
repair,Télécharger,46
belike,vraiment,42
clifford,louange,139
finger,Chevalier,66
within,garde,494
fault,procès,170
false,mari,299
render,tout à coup,46
quite,réputation,86
occasion,Quatrième,74
breed,bien que,50
glass,blessure,68
remember,blessés,191
below,consentement,54
sworn,cheval,133
thomas,vers,75
fellow,Couleur,325
hundred,rapide,115
sovereign,coups,154
affairs,bourse,68
along,clair,112
ulysses,visite,114
kneel,cerveau,72
somerset,cerveaux,147
reason,enseigné,288
vengeance,montre,52
charity,Conseil,55
capitol,Sein,43
syracuse,colère,238
youth,danger,283
kingdom,entendu,102
works,devin,249
senate,protecteur,42
water,intendant,149
pleasure,Par conséquent,180
small,désormais,101
round,d'où,75
heads,inonder,110
personal,froncer les sourcils,234
store,commettre,40
forward,serviteur,90
appears,odieux,50
receive,cru,98
business,flatter,232
pistol,malheureux,187
wisdom,folie,97
something,vengeance,183
place,diable,457
grown,la gentillesse,61
strike,droits d'auteur,154
encounter,maria,53
behold,Mariana,163
